,value,label,label2,codigo,cidade,lat,lng,cep,hora,cod
138,SAO PAULO - SHOPPING BUTANTA,"SAO PAULO - SHOPPING BUTANTA,MOVBUT,Shopping",SAO PAULO - SHOPPING BUTANTA,MOVBUT,SÃO PAULO,-23.584593,-46.725024,05512-300,Segunda a Sábado - 08:00 às 20:00 | Domingos e Feriados - 12:00 às 20:00,cidade
139,SAO PAULO - SHOPPING CAMPO LIMPO,"SAO PAULO - SHOPPING CAMPO LIMPO,MOVCNP,Shopping",SAO PAULO - SHOPPING CAMPO LIMPO,MOVCNP,SÃO PAULO,-23.649196,-46.758316,05777-970,Segunda a sexta das 07:00 às 20:00 | Sábado das 08:00 às 14:00 | Domingos e feriados das 14:00 às 20:00,cidade
140,SAO PAULO - SHOPPING CENTER NORTE,"SAO PAULO - SHOPPING CENTER NORTE,MOVSCN,Shopping",SAO PAULO - SHOPPING CENTER NORTE,MOVSCN,SÃO PAULO,-23.514564,-46.619873,02089-900,Segunda a Sexta - 08:00 às 20:00 | Sábados - 08:00 às 14:00 | Domingos e Feriados - Fechada,cidade
141,SAO PAULO - SHOPPING DED - BROOKLIN,"SAO PAULO - SHOPPING DED - BROOKLIN,SAOS08,Shopping",SAO PAULO - SHOPPING DED - BROOKLIN,SAOS08,SÃO PAULO,-23.6095956,-46.7001739,04578-903,Segunda a Sábado - 08:00 às 20:00 | Domingos e Feriados - 12:00 às 20:00,cidade
142,SAO PAULO - SHOPPING PATIO PAULISTA,"SAO PAULO - SHOPPING PATIO PAULISTA,SAOC27,Shopping",SAO PAULO - SHOPPING PATIO PAULISTA,SAOC27,SÃO PAULO,-23.5705529,-46.6457135,01327-900,Segunda a sábado das 08h00 as 22h00 | Domingos e feriados  das 12h00 as 22h00.,cidade
143,SAO PAULO - SHOPPING SANTA CRUZ,"SAO PAULO - SHOPPING SANTA CRUZ,MOVSSC,Shopping",SAO PAULO - SHOPPING SANTA CRUZ,MOVSSC,SÃO PAULO,-23.599307,-46.636805,04036-100,Segunda a Sábado - 08:00 às 20:00 | Domingos e Feriados - 14:00 às 20:00,cidade
144,SAO PAULO - TATUAPE - MARGINAL TIETE,"SAO PAULO - TATUAPE - MARGINAL TIETE,SPMT,RUA",SAO PAULO - TATUAPE - MARGINAL TIETE,SPMT,SÃO PAULO,-23.5293828,-46.5816766,03074-000,Segunda à Sexta: 07:00h às 20:00h | Sábados 7:00h às 13:00h | Domingos e Feriados: Fechada,cidade
145,SAO PAULO - TATUAPE II,"SAO PAULO - TATUAPE II,MOVTAT,RUA",SAO PAULO - TATUAPE II,MOVTAT,SÃO PAULO,-23.535478,-46.573678,03063-000,Segunda a Sexta - 07:00 às 19:00 | Sábados - 08:00 às 14:00 | Domingos e Feriados - Fechada,cidade
146,SAO PAULO - VILA LEOPOLDINA,"SAO PAULO - VILA LEOPOLDINA,GASVI,RUA",SAO PAULO - VILA LEOPOLDINA,GASVI,SÃO PAULO,-23.52819,-46.739185,05314-000,Segunda a Sexta - 07:00 às 19:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - Fechada,cidade
147,SOROCABA CAMPOLIM,"SOROCABA CAMPOLIM,MOVSRB,RUA",SOROCABA CAMPOLIM,MOVSRB,SOROCABA,-23.527882,-47.465608,18047-620,Segunda a Sexta: 08:00 às 17:00 | Sábados 8:00 às 12:00 | Domingos e Feriados: Fechada,cidade
148,SOROCABA SHOPPING PATIO CIANE,"SOROCABA SHOPPING PATIO CIANE,SSPC,Shopping",SOROCABA SHOPPING PATIO CIANE,SSPC,SOROCABA,-23.4963889,-47.4621887,18035-370,Segunda a Sabado: 07:00 às 20:00 | Domingos e Feriados: 14:00 às 20:00.,cidade
149,SUZANO,"SUZANO,MOVSUZ,Concessionário",SUZANO,MOVSUZ,SUZANO,-23.540917,-46.306528,08676-000,Segunda a Sexta - 08 às 18h | Sábados - 08 às 12h | Domingos e Feriados - Fechada,cidade
150,TABOAO DA SERRA EXTRA,"TABOAO DA SERRA EXTRA,MOVTBS,RUA",TABOAO DA SERRA EXTRA,MOVTBS,TABOÃO DA SERRA,-23.608283,-46.753107,06763-450,Segunda a Sexta - 07:00 às 19:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - Fechada,cidade
151,TAUBATE,"TAUBATE,MOVTBT,RUA",TAUBATE,MOVTBT,TAUBATÉ,-23.025864,-45.579744,12030-212,Segunda a Sexta - 08:00 às 18:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados: Fechada,cidade
152,ARACAJU AEROPORTO,"ARACAJU AEROPORTO,AJU,Aeroporto",ARACAJU AEROPORTO,AJU,ARACAJU,-10.987706,-37.073572,49037-580,Todos os dias 24hs  (inclusive feriados).,AEROPORTO
153,ARACAJU COROA DO MEIO,"ARACAJU COROA DO MEIO,AAR,RUA",ARACAJU COROA DO MEIO,AAR,ARACAJU,-10.9465545,-37.0452286,49035-500,Segunda a Sexta - 08:00 às 18:00 | Sábado 8:00 às 12:00 |Domingos e Feriado - fechada.,cidade
154,PALMAS AEROPORTO,"PALMAS AEROPORTO,PMW,Aeroporto",PALMAS AEROPORTO,PMW,PALMAS,-10.295576,-48.358159,77061-900,Segunda a Sexta - 10:00 às 18:00 | Sábados das 10:00 às 18:00 | Domingos e Feriados: Fechada,AEROPORTO
155,PALMAS CENTRO,"PALMAS CENTRO,MOVPLM,RUA",PALMAS CENTRO,MOVPLM,PALMAS,-10.189491,-48.33781,77015-030,Segunda a Sexta - 08:00 às 18:00 | Sábado - 8:00 às 12:00 | Domingos e Feriados: Fechada,cidade
