,value,label,label2,codigo,cidade,lat,lng,cep,hora,cod
54,BELEM AEROPORTO,"BELEM AEROPORTO,BEL,Aeroporto",BELEM AEROPORTO,BEL,BELÉM,-1.389298,-48.481069,66115-970,Todos os dias 24 horas (inclusive feriados).,AEROPORTO
55,BELEM CENTRO,"BELEM CENTRO,MOVBLC,RUA",BELEM CENTRO,MOVBLC,BELÉM,-1.430282,-48.460202,66093-671,Segunda a Sexta - 08:00 às 18:00 | Sábados - 08:00 às 14:00 | Domingos e Feriados- Fechada,cidade
56,MARABA AEROPORTO EXTERNO,"MARABA AEROPORTO EXTERNO,MAB,Aeroporto",MARABA AEROPORTO EXTERNO,MAB,MARABÁ,-5.372534,-49.13285,68502-290,Segunda a Sexta- 01:00 às 18:00 | Sábados- 01:00 às 15:00 | Domingos e Feriados: Fechada.,AEROPORTO
57,PARAUAPEBAS AEROPORTO,"PARAUAPEBAS AEROPORTO,CRJ,Aeroporto",PARAUAPEBAS AEROPORTO,CRJ,PARAUAPEBAS,-6.114447,-50.001018,68515-000,"Segunda a Sexta - 11:00 às 17:40 | Sábado, Domingos e Feriados - Fechada.",AEROPORTO
58,PARAUAPEBAS CENTRO,"PARAUAPEBAS CENTRO,MOVCKS,RUA",PARAUAPEBAS CENTRO,MOVCKS,PARAUAPEBAS,-6.073085,-49.894403,68515-000,Segunda a sexta - 08:00 às 18:00 | Sábado - 08:00 às 14:00 | Domingo e Feriados - fechada,cidade
59,PETROLINA AEROPORTO,"PETROLINA AEROPORTO,PNZ,Aeroporto",PETROLINA AEROPORTO,PNZ,PETROLINA,-9.366478,-40.56587,56313-900,Todos os dias 24h (inclusive feriados),AEROPORTO
60,RECIFE AEROPORTO,"RECIFE AEROPORTO,REC,Aeroporto",RECIFE AEROPORTO,REC,RECIFE,-8.0989302,-34.9260123,51210-001,Todos os dias 00:00 às 23:59 horas (inclusive feriados).,AEROPORTO
61,RECIFE CAXANGA,"RECIFE CAXANGA,RECC02,RUA",RECIFE CAXANGA,RECC02,RECIFE,-8.042861,-34.934081,50731-000,Segunda a Sexta - 8:00 às 19:00 | Sábado - 8:00 às 12:00 | Domingos e Feriados - fechada,cidade
62,TERESINA AEROPORTO,"TERESINA AEROPORTO,THE,Aeroporto",TERESINA AEROPORTO,THE,TERESINA,-5.063336,-42.821099,64003-700,Todos os dias 24 horas (inclusive feriados).,AEROPORTO
63,CAMPOS DOS GOYTACAZES,"CAMPOS DOS GOYTACAZES,MOVCPG,RUA",CAMPOS DOS GOYTACAZES,MOVCPG,CAMPOS DOS GOYTACAZES,-21.767449,-41.322017,28020-740,Segunda a Sexta - 09:00 às 18:00 | Sábado - 09:00 às 12:00 | Domingos e Feriado - fechada.,cidade
64,MACAE,"MACAE,MOVMCE,RUA",MACAE,MOVMCE,MACAÉ,-22.385487,-41.775633,27915-012,Segunda a Sexta - 08:00 às 17:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - Fechada,cidade
65,NITEROI,"NITEROI,MOVNTR,RUA",NITEROI,MOVNTR,NITERÓI,-22.889091,-43.114155,24060-008,Segunda a Sexta - 09:00 às 18:00 | Sábado 08:00 às 12:00 |Domingos e Feriado - fechada.,cidade
66,RESENDE,"RESENDE,MOVQRZ,RUA",RESENDE,MOVQRZ,RESENDE,-22.464583,-44.441054,27535-320,Segunda a Sexta - 09:00 às 18:00 | Sábado 8:00 às 12:00 |Domingos e Feriado - fechada.,cidade
67,RIO DE JANEIRO - BARRA DA TIJUCA,"RIO DE JANEIRO - BARRA DA TIJUCA,MOVRJB,RUA",RIO DE JANEIRO - BARRA DA TIJUCA,MOVRJB,RIO DE JANEIRO,-23.00481,-43.32168,22640-100,Segunda a Sexta - 8:00 às 17:00 | Sábado - 8:00 às 12:00 | Domingos e Feriado - fechada,cidade
68,RIO DE JANEIRO - BARRA DA TIJUCA AYRTON SENNA,"RIO DE JANEIRO - BARRA DA TIJUCA AYRTON SENNA,RIOAYR,RUA",RIO DE JANEIRO - BARRA DA TIJUCA AYRTON SENNA,RIOAYR,RIO DE JANEIRO,-22.9712318,-43.3643493,22775-004,Segunda a Sexta - 07:00 às 19:00 | Sábados - 07:00 às 11:00 | Domingos e Feriados - Fechada,cidade
69,RIO DE JANEIRO - BARRA DA TIJUCA EXTRA,"RIO DE JANEIRO - BARRA DA TIJUCA EXTRA,RIOS02,RUA",RIO DE JANEIRO - BARRA DA TIJUCA EXTRA,RIOS02,RIO DE JANEIRO,-22.998818,-43.32661,22640-900,Segunda a Sexta - 07:00 às 20:00 | Sábado 8:00 às 17:00 | Domingos e Feriado - 12:00 às 20:00,cidade
70,RIO DE JANEIRO - COPACABANA RIO SUL SH,"RIO DE JANEIRO - COPACABANA RIO SUL SH,MOVCOPA,Shopping",RIO DE JANEIRO - COPACABANA RIO SUL SH,MOVCOPA,RIO DE JANEIRO,-22.9579702,-43.178285,22290-090,Segunda a Sábado - 08:00 às 20:00 | Domingos - 12:00 às 20:00 | Feriados - 08:00 às 20:00,cidade
71,RIO DE JANEIRO - GALEAO AEROPORTO,"RIO DE JANEIRO - GALEAO AEROPORTO,GIG,Aeroporto",RIO DE JANEIRO - GALEAO AEROPORTO,GIG,RIO DE JANEIRO,-22.815247,-43.241231,21941-570,"Todos os dias - 24h (inclusive feriados) - Das 23h às 6h, estaremos atendendo somente reservas WALKIN no BOX do DESEMBARQUE DOMÉSTICO - Para comunicar devoluções após as 23h : (21) 967010831",AEROPORTO
72,RIO DE JANEIRO - JACAREPAGUA,"RIO DE JANEIRO - JACAREPAGUA,MOVJPG,Hotel",RIO DE JANEIRO - JACAREPAGUA,MOVJPG,RIO DE JANEIRO,-22.965783,-43.397086,22780-160,Segunda a Sexta - 8:00 às 17:00 | Sábados - 8:00 às 12:00 | Domingos e Feriados - fechada,cidade
73,RIO DE JANEIRO - LEBLON,"RIO DE JANEIRO - LEBLON,RJL,RUA",RIO DE JANEIRO - LEBLON,RJL,RIO DE JANEIRO,-22.9814997,-43.2245594,22430-220,Segunda a Sexta - 08 às 20h | Sábados - 08 às 16h | Domingos e Feriados - 08 ás 12h,cidade
74,RIO DE JANEIRO - MADUREIRA,"RIO DE JANEIRO - MADUREIRA,MOVMDR,RUA",RIO DE JANEIRO - MADUREIRA,MOVMDR,RIO DE JANEIRO,-22.87978,-43.355463,21341-331,Segunda a Sexta - 07:00 às 17:00 | Sábado 8:00 às 12:00 |Domingos e Feriado - fechada.,cidade
75,RIO DE JANEIRO - SHOPPING BOULEVARD,"RIO DE JANEIRO - SHOPPING BOULEVARD,MOVSHH,Shopping",RIO DE JANEIRO - SHOPPING BOULEVARD,MOVSHH,RIO DE JANEIRO,-22.919485,-43.24996,20541-372,Segunda a Sábado - 10:00 às 20:00 | Domingos e Feriado - 12:00 às 20:00,cidade
76,RIO DE JANEIRO-SANTOS DUMONT AEROMARINA GLORIA,"RIO DE JANEIRO-SANTOS DUMONT AEROMARINA GLORIA,SDU,Aeroporto",RIO DE JANEIRO-SANTOS DUMONT AEROMARINA GLORIA,SDU,RIO DE JANEIRO,-22.921059,-43.170558,20021-140,Todos os dias 06:00 às 23:00 (inclusive feriados) loja. Box apenas horário de voo,AEROPORTO
77,MOSSORO,"MOSSORO,MOVMSR,RUA",MOSSORO,MOVMSR,MOSSORÓ,-5.197545,-37.340588,59625-000,Segunda a Sexta - 08:00 às 18:00 | Sábado 8:00 às 12:00 |Domingos e Feriado - fechada.,cidade
78,NATAL PONTA NEGRA,"NATAL PONTA NEGRA,MOVNTC,RUA",NATAL PONTA NEGRA,MOVNTC,NATAL,-5.872751,-35.179536,59090-080,"Segunda a Sexta - 8:00 às 20:00 | Sábado, Domingos e Feriado - 08:00 às 14:00",cidade
79,NATAL AEROPORTO,"NATAL AEROPORTO,NAT,Aeroporto",NATAL AEROPORTO,NAT,SÃO GONÇALO DO AMARANTE,-5.763028,-35.372594,59290-000,Todos os dias 00:00h às 23:59h (inclusive feriados),AEROPORTO
80,CAXIAS DO SUL AEROPORTO,"CAXIAS DO SUL AEROPORTO,CXJ,Aeroporto",CAXIAS DO SUL AEROPORTO,CXJ,CAXIAS DO SUL,-29.19491,-51.186561,95098-420,Segunda à Sexta: 08:00 às 20:00 | Sábados 08:00 às 12:00 | Domingos e Feriados - 13:30 às 19:30.,AEROPORTO
81,NOVO HAMBURGO,"NOVO HAMBURGO,MOVNHG,RUA",NOVO HAMBURGO,MOVNHG,NOVO HAMBURGO,-29.691216,-51.13588,93336-001,Segunda a Sexta - 08:00 às 18:00 | Sábado - 08:00 às 12:00|Domingos e Feriado - fechada.,cidade
82,PELOTAS,"PELOTAS,MOVPLT,RUA",PELOTAS,MOVPLT,PELOTAS,-31.744818,-52.342642,96020-151,Segunda a Sexta - 08:00 às 18:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - fechada,cidade
83,PORTO ALEGRE - SHOPPING BARRA SUL,"PORTO ALEGRE - SHOPPING BARRA SUL,BSS,RUA",PORTO ALEGRE - SHOPPING BARRA SUL,BSS,PORTO ALEGRE,-30.084651,-51.245881,90810-080,Segunda a sexta 8:00 às 20:00 |  Sábado das 10:00 às 20:00 | Domingos e Feriados das 14:00 às 20:00,cidade
84,PORTO ALEGRE AEROPORTO,"PORTO ALEGRE AEROPORTO,POA,Aeroporto",PORTO ALEGRE AEROPORTO,POA,PORTO ALEGRE,-29.993227,-51.175349,90200-290,Todos os dias - 24h (inclusive feriados),AEROPORTO
85,PORTO ALEGRE CENTRO,"PORTO ALEGRE CENTRO,MOVPOAC,RUA",PORTO ALEGRE CENTRO,MOVPOAC,PORTO ALEGRE,-30.035343,-51.177621,90480-002,Segunda a Sexta - 07:00 às 19:00 | Sábado 08:00 às 14:00 | Domingos e Feriados - fechada.,cidade
86,PORTO VELHO AEROPORTO,"PORTO VELHO AEROPORTO,PVH,Aeroporto",PORTO VELHO AEROPORTO,PVH,PORTO VELHO,-8.71467,-63.898327,76803-250,Todos os dias 24h (inclusive feriados),AEROPORTO
87,BOA VISTA AEROPORTO,"BOA VISTA AEROPORTO,BVB,Aeroporto",BOA VISTA AEROPORTO,BVB,BOA VISTA,2.841929,-60.694779,69310-006,"Horário Especial: Segunda a Sexta das 08:00 as 18:00 | Sábado, Domingo e Feriado: das 08:00 as 16:00",AEROPORTO
88,BLUMENAU,"BLUMENAU,MOVBLM,RUA",BLUMENAU,MOVBLM,BLUMENAU,-26.917054,-49.063537,89050-000,Segunda a sexta - 08:00 às 18:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - Fechada,cidade
89,FLORIANOPOLIS AEROPORTO,"FLORIANOPOLIS AEROPORTO,FLN,Aeroporto",FLORIANOPOLIS AEROPORTO,FLN,FLORIANÓPOLIS,-27.6774568,-48.5473961,88047-902,Todos os dias 24 horas (inclusive feriados).,AEROPORTO
90,JOINVILLE AEROPORTO,"JOINVILLE AEROPORTO,JOI,Aeroporto",JOINVILLE AEROPORTO,JOI,JOINVILLE,-26.223305,-48.801027,89226-435,Segunda a sexta - 8:00 às 20:00 | Sábados e Feriados - 8:00 às 18:00 |  Domingos - 10:00 às 20:00,AEROPORTO
91,JOINVILLE CENTRO,"JOINVILLE CENTRO,MOVJOI,RUA",JOINVILLE CENTRO,MOVJOI,JOINVILLE,-26.28682,-48.848618,89204-002,Segunda a Sexta: 07:00 às 18:00 | Sábados: 08:00 às 12:00 | Domingos e Feriados: Fechada,cidade
92,NAVEGANTES AEROPORTO,"NAVEGANTES AEROPORTO,NVT,Aeroporto",NAVEGANTES AEROPORTO,NVT,NAVEGANTES,-26.881707,-48.65017,88375-208,Todos os dias: 05:00 às 00:00 (inclusive feriados).,AEROPORTO
93,AMERICANA,"AMERICANA,MOVAME,RUA",AMERICANA,MOVAME,AMERICANA,-22.751129,-47.334387,13466-550,Segunda a Sexta - 08:00 às 18:00 | Sábado - 8:00 às 12:00 | Domingos e Feriados: Fechada,cidade
94,ARACATUBA,"ARACATUBA,MOVARB,RUA",ARACATUBA,MOVARB,ARAÇATUBA,-21.216067,-50.436525,16015-433,Segunda a Sexta: 08:00 às 18:00 | Sábado - 8:00 às 12:00 | Domingos e Feriados: Fechada,cidade
95,BARUERI ALPHAVILLE - RIO NEGRO,"BARUERI ALPHAVILLE - RIO NEGRO,MOVAPH,RUA",BARUERI ALPHAVILLE - RIO NEGRO,MOVAPH,BARUERI,-23.502369,-46.84764,06454-000,Segunda a Sexta - 07 às 20h | Sábados - 08 às 14h | Domingos e Feriados - 12h às 20hs,cidade
96,BARUERI ALPHAVILLE - TAMBORE,"BARUERI ALPHAVILLE - TAMBORE,BTAM,RUA",BARUERI ALPHAVILLE - TAMBORE,BTAM,BARUERI,-23.5035212,-46.8315528,06455-000,Segunda a Sexta - 07:00 às 20:00 | Sábado - 08:00h às 14:00 | Domingos e Feriados - 12:00 às 20:00,cidade
97,BAURU,"BAURU,MOVBAU,RUA",BAURU,MOVBAU,BAURU,-22.320135,-49.068244,17010-130,Segunda a Sexta - 08:00 às 19:00 | Sábado 8:00 às 12:00 |Domingos e Feriado - fechada.,cidade
98,CAMPINAS AEROPORTO,"CAMPINAS AEROPORTO,VCP,Aeroporto",CAMPINAS AEROPORTO,VCP,CAMPINAS,-23.0081389,-47.1487443,13055-900,Todos os dias - 5:00 às 23:59 (inclusive feriados),AEROPORTO
99,CAMPINAS MORAES SALES,"CAMPINAS MORAES SALES,MOVCPQC,RUA",CAMPINAS MORAES SALES,MOVCPQC,CAMPINAS,-22.906472,-47.044745,13100-201,Segunda a sexta das 07:00 às 20:00 / Sábado 08:00 às 14:00 / Domingos e feriados - Fechada,cidade
100,CAMPINAS OROSIMBO,"CAMPINAS OROSIMBO,CPQO,RUA",CAMPINAS OROSIMBO,CPQO,CAMPINAS,-22.8881791,-47.0556328,13010-211,Segunda a sexta das 07:00 às 20:00 / Sábado 08:00 às 14:00 / Domingos e feriados - 12:00 às 20:00.,cidade
101,COTIA GRANJA VIANNA SHOPPING,"COTIA GRANJA VIANNA SHOPPING,MOVGRV,Shopping",COTIA GRANJA VIANNA SHOPPING,MOVGRV,COTIA,-23.59287,-46.834378,06709-015,Segunda a sábado - 10:00 às 22:00 / Domingos e Feriados - 14:00 às 20:00,cidade
102,FRANCA,"FRANCA,MOVFRA,RUA",FRANCA,MOVFRA,FRANCA,-20.546474,-47.398993,14403-050,Segunda a Sexta- 08:00 às 17:00 | Sábados - 08:00 às 12:00 | Domingos e feriados: Fechada.,cidade
103,GUARATINGUETA,"GUARATINGUETA,GUJ,RUA",GUARATINGUETA,GUJ,GUARATINGUETÁ,-22.813958,-45.201897,12505-300,Segunda a Sexta - 08:00 às 18:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - Fechada,cidade
104,SAO PAULO - GUARULHOS AEROPORTO,"SAO PAULO - GUARULHOS AEROPORTO,GRU,Aeroporto",SAO PAULO - GUARULHOS AEROPORTO,GRU,GUARULHOS,-23.446738,-46.490524,07190-100,Todos os dias 24 horas (inclusive feriados),AEROPORTO
105,SAO PAULO GUARULHOS TIMOTEO PENTEADO,"SAO PAULO GUARULHOS TIMOTEO PENTEADO,MOVGRUO,Concessionário",SAO PAULO GUARULHOS TIMOTEO PENTEADO,MOVGRUO,GUARULHOS,-23.45501,-46.557072,07061-001,Segunda a Sexta - 07:00 às 18:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - Fechada,cidade
106,INDAIATUBA,"INDAIATUBA,MOVIND,RUA",INDAIATUBA,MOVIND,INDAIATUBA,-23.121983,-47.223707,13346-630,Segunda a Sexta - 8:00 às 18:00 | Sábado - 8:00h às 12:00 | Domingos e Feriados: Fechada,cidade
107,JUNDIAI,"JUNDIAI,MOVJND,RUA",JUNDIAI,MOVJND,JUNDIAÍ,-23.214845,-46.874512,13206-105,Segunda a Sexta - 07 às 20h | Sábados - 08 às 14h | Domingos e Feriados - 12h às 20hs,cidade
108,MARILIA,"MARILIA,MOVMRL,RUA",MARILIA,MOVMRL,MARÍLIA,-22.196273,-49.93001,17514-000,Segunda a Sexta - 8:00 às 18:00 | Sábado - 8:00 às 12:00 | Domingos e Feriados: Fechada,cidade
109,MOGI DAS CRUZES,"MOGI DAS CRUZES,MOVMGC,Concessionário",MOGI DAS CRUZES,MOVMGC,MOGI DAS CRUZES,-23.528446,-46.20522,08735-000,Segunda a Sexta - 07:00 às 19:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - Fechada,cidade
110,OSASCO,"OSASCO,MOVOSC,RUA",OSASCO,MOVOSC,OSASCO,-23.53862,-46.774999,06090-010,Segunda a Sexta - 08:00 às 19:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - Fechada,cidade
111,PIRACICABA,"PIRACICABA,MOVPRC,RUA",PIRACICABA,MOVPRC,PIRACICABA,-22.728465,-47.618147,13420-355,Segunda a Sexta - 08:00 às 19:00 | Sábado 8:00 às 12:00 | Domingos e Feriado - fechada.,cidade
112,PRESIDENTE PRUDENTE,"PRESIDENTE PRUDENTE,MOVPRP,RUA",PRESIDENTE PRUDENTE,MOVPRP,PRESIDENTE PRUDENTE,-22.119034,-51.402119,19015-241,Segunda a Sexta - 08:00 às 18:00 | Sábado - 8:00 às 12:00 | Domingos e Feriados: Fechada,cidade
113,RIBEIRAO PRETO AEROPORTO,"RIBEIRAO PRETO AEROPORTO,RAO,Aeroporto",RIBEIRAO PRETO AEROPORTO,RAO,RIBEIRÃO PRETO,-21.1394,-47.777,14075-390,Segunda à Sexta-feira - 05:00 às 00:00 | Sábado 8:00 às 12:00 | Domingos e Feriado - fechada.,AEROPORTO
114,RIBEIRAO PRETO CASTELO BRANCO,"RIBEIRAO PRETO CASTELO BRANCO,MOVRPT,RUA",RIBEIRAO PRETO CASTELO BRANCO,MOVRPT,RIBEIRÃO PRETO,-21.199749,-47.768683,14095-000,Segunda a Sexta - 8:00 às 18:00 | Sábado -  8:00 às 12:00 | Domingos e Feriados: Fechada,cidade
115,SANTO ANDRE,"SANTO ANDRE,MOVSTA,RUA",SANTO ANDRE,MOVSTA,SANTO ANDRÉ,-23.639854,-46.540993,09080-001,Segunda a Sexta - 07:00 às 19:00 | Sábados - 08:00 às 12:00 | Domingos e Feriados - Fechada,cidade
116,SANTOS AFFONSO PENNA,"SANTOS AFFONSO PENNA,MOVLSSZ,RUA",SANTOS AFFONSO PENNA,MOVLSSZ,SANTOS,-23.958606,-46.320829,11020-000,Segunda à Sexta - 07:00 às 19:00 | Sábados - 08:00 às 14:00 | Domingos e Feriados - 14:00 às 19:00,cidade
117,SAO BERNARDO EXTRA ANCHIETA,"SAO BERNARDO EXTRA ANCHIETA,MOVSBCK,RUA",SAO BERNARDO EXTRA ANCHIETA,MOVSBCK,SÃO BERNARDO DO CAMPO,-23.668856,-46.573554,09695-000,Segunda a Sexta - 07:00 às 19:00 | Sábados - 08:00 às 14:00 | Domingos e Feriados - Fechada,cidade
118,SAO BERNARDO PLAZA SHOPPING,"SAO BERNARDO PLAZA SHOPPING,MOVSBF,RUA",SAO BERNARDO PLAZA SHOPPING,MOVSBF,SÃO BERNARDO DO CAMPO,-23.7232218,-46.5453837,09721-000,Segunda à Sexta: 08:00 às 20:00 | Sábados - 09:00 às 15:00 | Domingos e Feriados: 14:00 às 19:00,cidade
